,PMID,Title,Abstract,Relevancy Score,Comention Sentences
0,2335273,Interaction of GABA and volatile anesthetics in the nematode Caenorhabditis elegans.,"['The authors tested whether mutant strains of Caenorhabditis elegans with altered sensitivity to volatile anesthetics have altered responses to GABA or GABA-agonists. They determined the ED50s of the wild-type strain N2 and two mutant strains of C. elegans to a GABA-mimetic ivermectin (IVM) and to GABA. unc-79, a strain with increased sensitivity to halothane, was more sensitive than N2 to IVM and GABA. unc-9, a strain that suppresses the increased sensitivity of unc-79 to halothane, was less sensitive than N2 to IVM and GABA. The authors also tested whether doses of GABA or IVM and volatile anesthetics were additive in their effects on C. elegans. Halothane (2.1%) did not shift the ED50 of IVM, but was antagonistic to GABA. Enflurane (4%) was antagonistic to both IVM and GABA. However, ED50s of halothane and enflurane were unchanged in the presence of IVM (35 nM) or GABA (150 mM). The authors conclude that GABA by itself does not appear to mediate halothane or enflurane sensitivity in C. elegans.']",2.833333333333333,"[They determined the ED50s of the wild-type strain N2 and two mutant strains of C. elegans to a GABA-mimetic ivermectin (IVM) and to GABA., They determined the ED50s of the wild-type strain N2 and two mutant strains of C. elegans to a GABA-mimetic ivermectin (IVM) and to GABA., unc-79, a strain with increased sensitivity to halothane, was more sensitive than N2 to IVM and GABA., unc-9, a strain that suppresses the increased sensitivity of unc-79 to halothane, was less sensitive than N2 to IVM and GABA., The authors also tested whether doses of GABA or IVM and volatile anesthetics were additive in their effects on C. elegans., Halothane (2.1%) did not shift the ED50 of IVM, but was antagonistic to GABA., Enflurane (4%) was antagonistic to both IVM and GABA., However, ED50s of halothane and enflurane were unchanged in the presence of IVM (35 nM) or GABA (150 mM).]"
1,6115673,Stimulation of benzodiazepine binding to rat brain membranes and solubilized receptor complex by avermectin B1a and gamma-aminobutyric acid.,"['The binding of [3H]flunitrazepam to benzodiazepine receptors in synaptic membranes and a digitonin-solubilized receptor fraction of rat brain is increased by avermectin B1a and gamma-aminobutyric acid (GABA). The effects of avermectin B1a and GABA are both sensitive to inhibition by (+)-bicuculline. Avermectin B1a and GABA both decrease the Kd and increase the Bmax of [3H]flunitrazepam binding to membranes. Kinetic analysis of the binding of [3H]flunitrazepam to rat brain membranes indicates that avermectin B1a and GABA reduce the rate constants of both association and dissociation between the ligand and the receptor. These results suggest a similar mechanism of modulation of benzodiazepine binding by avermectin B1a and GABA. This modulation may involve in interaction among the receptors for benzodiazepine, GABA and avermectin B1a.']",1.9583333333333333,"[['The binding of [3H]flunitrazepam to benzodiazepine receptors in synaptic membranes and a digitonin-solubilized receptor fraction of rat brain is increased by avermectin B1a and gamma-aminobutyric acid (GABA)., The effects of avermectin B1a and GABA are both sensitive to inhibition by (+)-bicuculline., Avermectin B1a and GABA both decrease the Kd and increase the Bmax of [3H]flunitrazepam binding to membranes., Kinetic analysis of the binding of [3H]flunitrazepam to rat brain membranes indicates that avermectin B1a and GABA reduce the rate constants of both association and dissociation between the ligand and the receptor., These results suggest a similar mechanism of modulation of benzodiazepine binding by avermectin B1a and GABA., This modulation may involve in interaction among the receptors for benzodiazepine, GABA and avermectin B1a.']]"
2,10771281,Activation of rat recombinant alpha(1)beta(2)gamma(2S) GABA(A) receptor by the insecticide ivermectin.,"['In the present study, the activation of rat recombinant alpha(1)beta(2)gamma(2S) gamma-aminobutyric acid (GABA)-ergic Cl(-) channel expressed in human embryonic kidney (HEK) 293 cells by ivermectin was investigated. Maximal activation of the channel occurred with GABA concentrations of 10 mM or 20 microM ivermectin both achieving about the same current amplitudes. With those saturating concentrations, the currents rose with GABA within 1 ms to the maximal values, whereas the rise time for ivermectin was about 500 times longer. In contrast to activation with GABA, no desensitisation in the presence of the agonist was observed with ivermectin. With both agonists, two different open states were detected. On simultaneous application of GABA and ivermectin the current amplitudes and the kinetics were determined by the agonist applied in the concentration eliciting the higher open probability. It is concluded that GABA and ivermectin activated the channel independently resulting in different kinetic properties.']",1.2733516483516483,"[Maximal activation of the channel occurred with GABA concentrations of 10 mM or 20 microM ivermectin both achieving about the same current amplitudes., With those saturating concentrations, the currents rose with GABA within 1 ms to the maximal values, whereas the rise time for ivermectin was about 500 times longer., In contrast to activation with GABA, no desensitisation in the presence of the agonist was observed with ivermectin., On simultaneous application of GABA and ivermectin the current amplitudes and the kinetics were determined by the agonist applied in the concentration eliciting the higher open probability., It is concluded that GABA and ivermectin activated the channel independently resulting in different kinetic properties.']]"
3,6286885,Avermectin B1a modulation of gamma-aminobutyric acid receptors in rat brain membranes.,"['Avermectin B1a stimulates high-affinity binding of [3H]-gamma-aminobutyric acid (GABA) to receptors in washed rat brain membranes. Scatchard analysis of the data indicates that the drug does not significantly alter the apparent dissociation constant of GABA binding, but increases the detectable number of binding sites from 3.2 to 5.1 pmol/mg protein, (+)-Bicuculline completely blocks control and avermectin B1a-stimulated GABA binding, whereas picrotoxin antagonizes specifically the avermectin B1a-stimulated GABA binding. The avermectin B1a-stimulated GABA binding is also chloride ion-dependent, whereas GABA binding in the control is not. These observations suggest that the mechanism of avermectin B1a stimulation of GABA binding may involve the chloride ion channel.']",1.2321428571428572,"[['Avermectin B1a stimulates high-affinity binding of [3H]-gamma-aminobutyric acid (GABA) to receptors in washed rat brain membranes., Scatchard analysis of the data indicates that the drug does not significantly alter the apparent dissociation constant of GABA binding, but increases the detectable number of binding sites from 3.2 to 5.1 pmol/mg protein, (+)-Bicuculline completely blocks control and avermectin B1a-stimulated GABA binding, whereas picrotoxin antagonizes specifically the avermectin B1a-stimulated GABA binding., Scatchard analysis of the data indicates that the drug does not significantly alter the apparent dissociation constant of GABA binding, but increases the detectable number of binding sites from 3.2 to 5.1 pmol/mg protein, (+)-Bicuculline completely blocks control and avermectin B1a-stimulated GABA binding, whereas picrotoxin antagonizes specifically the avermectin B1a-stimulated GABA binding., Scatchard analysis of the data indicates that the drug does not significantly alter the apparent dissociation constant of GABA binding, but increases the detectable number of binding sites from 3.2 to 5.1 pmol/mg protein, (+)-Bicuculline completely blocks control and avermectin B1a-stimulated GABA binding, whereas picrotoxin antagonizes specifically the avermectin B1a-stimulated GABA binding., Scatchard analysis of the data indicates that the drug does not significantly alter the apparent dissociation constant of GABA binding, but increases the detectable number of binding sites from 3.2 to 5.1 pmol/mg protein, (+)-Bicuculline completely blocks control and avermectin B1a-stimulated GABA binding, whereas picrotoxin antagonizes specifically the avermectin B1a-stimulated GABA binding., The avermectin B1a-stimulated GABA binding is also chloride ion-dependent, whereas GABA binding in the control is not., These observations suggest that the mechanism of avermectin B1a stimulation of GABA binding may involve the chloride ion channel.']]"
4,6088460,"Avermectin modulation of GABA binding to membranes of rat brain, brine shrimp and a fungus, Mucor miehei.","['High affinity [3H]GABA (gamma-aminobutyric acid) binding sensitive to muscimol and bicuculline was detected in membranes derived from rat brain and brine shrimp. Avermectin stimulated this GABA binding with maximum stimulation seen in these membranes at 400 and 40-80 ng/ml, respectively. This avermectin stimulation of GABA binding was Cl--dependent, bicuculline and picrotoxin-sensitive and was associated with an increase in Bm but not Kd of the systems. The membranes from Mucor miehei also exhibited high affinity [3H]GABA binding that was insensitive to classical neuronal GABA receptor agonists/antagonists and other agents. This novel GABA receptor was sensitive to Na+ and extremely sensitive to low levels of avermectin (apparent Ki 20-40 ng/ml). This inhibition of GABA binding by avermectin was associated with a decrease in affinity (increase in Kd) and an increase in concentration of receptors (Bm). It is possible that these GABA receptors might play crucial roles in control of cell metabolism and that avermectin can prevent growth of this organism via interference in the receptor activity.']",1.1538461538461537,"[Avermectin stimulated this GABA binding with maximum stimulation seen in these membranes at 400 and 40-80 ng/ml, respectively., This avermectin stimulation of GABA binding was Cl--dependent, bicuculline and picrotoxin-sensitive and was associated with an increase in Bm but not Kd of the systems., This novel GABA receptor was sensitive to Na+ and extremely sensitive to low levels of avermectin (apparent Ki 20-40 ng/ml)., This inhibition of GABA binding by avermectin was associated with a decrease in affinity (increase in Kd) and an increase in concentration of receptors (Bm)., It is possible that these GABA receptors might play crucial roles in control of cell metabolism and that avermectin can prevent growth of this organism via interference in the receptor activity.']]"
5,6284889,A comparative study of avermectin B1a and other modulators of the gamma-aminobutyric acid receptor . chloride ion channel complex.,"['The interactions of the anthelmintic agent avermectin B1a, the anticonvulsant pentobarbital, and the anxiolytic tracazolate with the gamma-aminobutyric acid (GABA) receptor . chloride ion channel complex in rat brain membrane were studied. The results indicated that they all potentiated ligand binding to the GABA and benzodiazepine receptors. The stimulatory effects of avermectin B1a and pentobarbital, but not tracazolate, on GABA receptor binding were inhibited by picrotoxin. The effect of avermectin B1a was not additive with those of tracazolate and pentobarbital. On the other hand, the stimulatory effect of GABA on benzodiazepine binding was additive with those of avermectin B1a and pentobarbital, but tracazolate and pentobarbital inhibited the effect of avermectin B1a. In the receptor heat inactivation experiments, avermectin B1a and clonazepam protected GABA receptors, whereas avermectin B1a and GABA protected benzodiazepine receptors. Tracazolate, pentobarbital, and picrotoxin did not protect either receptor. These findings suggest that the recognition sites for the benzodiazepines, avermectin B1a, pentobarbital, and picrotoxin are coupled allosterically to the GABA receptor . chloride ion channel complex in different ways. The binding sites for avermectin B1a may be partially shared by picrotoxin, pentobarbital, and tracazolate.']",1.1333333333333333,"[['The interactions of the anthelmintic agent avermectin B1a, the anticonvulsant pentobarbital, and the anxiolytic tracazolate with the gamma-aminobutyric acid (GABA) receptor ., The stimulatory effects of avermectin B1a and pentobarbital, but not tracazolate, on GABA receptor binding were inhibited by picrotoxin., On the other hand, the stimulatory effect of GABA on benzodiazepine binding was additive with those of avermectin B1a and pentobarbital, but tracazolate and pentobarbital inhibited the effect of avermectin B1a., In the receptor heat inactivation experiments, avermectin B1a and clonazepam protected GABA receptors, whereas avermectin B1a and GABA protected benzodiazepine receptors., In the receptor heat inactivation experiments, avermectin B1a and clonazepam protected GABA receptors, whereas avermectin B1a and GABA protected benzodiazepine receptors., In the receptor heat inactivation experiments, avermectin B1a and clonazepam protected GABA receptors, whereas avermectin B1a and GABA protected benzodiazepine receptors., These findings suggest that the recognition sites for the benzodiazepines, avermectin B1a, pentobarbital, and picrotoxin are coupled allosterically to the GABA receptor .]"
6,12421359,Study of the nematode putative GABA type-A receptor subunits: evidence for modulation by ivermectin.,"['Two alleles of the HG1 gene, which encodes a putative GABA receptor alpha/gamma subunit, were isolated from Haemonchus contortus. These two alleles were shown previously to be associated with ivermectin susceptibility (HG1A) and resistance (HG1E), respectively. Sequence analysis indicates that they differ in four amino acids. To explore the functional properties of the two alleles, a full-length cDNA encoding the beta subunit, a key functional component of the GABA receptor, was isolated from Caenorhabditis elegans (gab-1, corresponding to the GenBank locus ZC482.1) and coexpressed in Xenopus oocytes with the HG1 alleles. When gab-1 was coexpressed with either the HG1A allele or the HG1E allele in Xenopus oocytes, gamma-aminobutyric acid (GABA)-responsive channels with different sensitivity to the agonist were formed. The effects of ivermectin on the hetero-oligomeric receptors were determined. Application of ivermectin alone had no effect on the receptors. However, when coapplied with 10 micro m GABA, ivermectin potentiated the GABA-evoked current of the GAB-1/HG1A receptor, but attenuated the GABA response of the GAB-1/HG1E receptor. We demonstrated that the coexpressed HG1 and GAB-1 receptors are GABA-responsive, and provide evidence for the possible involvement of GABA receptors in the mechanism of ivermectin resistance.']",0.8888888888888888,"[However, when coapplied with 10 micro m GABA, ivermectin potentiated the GABA-evoked current of the GAB-1/HG1A receptor, but attenuated the GABA response of the GAB-1/HG1E receptor., However, when coapplied with 10 micro m GABA, ivermectin potentiated the GABA-evoked current of the GAB-1/HG1A receptor, but attenuated the GABA response of the GAB-1/HG1E receptor., We demonstrated that the coexpressed HG1 and GAB-1 receptors are GABA-responsive, and provide evidence for the possible involvement of GABA receptors in the mechanism of ivermectin resistance.']]"
7,33069391,Ivermectin Increases Random-Pattern Skin Flap Survival in Rats: The Novel Role of GABAergic System.,"[StringElement('Ivermectin (IVM) was first used as an antiparasitic agent; however, the role of this drug evolved into a broad spectrum. Many mechanisms have been proposed, including interaction with the GABAergic system. Considering the presence of GABA receptor in the skin tissue and its role in ischemia-reperfusion I/R injury, we aimed to evaluate the effect of IVM through GABA receptors on random-pattern skin flap survival.', attributes={'Label': 'BACKGROUND'}), StringElement('Sixty Wistar male rats were used. Multiple doses of IVM (0.01, 0.05, 0.2, and 0.5\xa0mg/kg) were injected intraperitoneally before the surgery. Baclofen (selective GABA<sub>B</sub> agonist) and bicuculline (selective GABA<sub>A</sub> antagonist) were administered in combination with IVM to assess the role of the GABAergic system. Histopathological evaluations, immunohistochemical staining, quantitative assessment of IL-1β and TNFα, and the expression of GABA<sub>A</sub> α1 subunit and GABA<sub>B</sub> R1 receptors were evaluated in the skin tissue.', attributes={'Label': 'METHODS'}), StringElement('IVM 0.05\xa0mg/kg could significantly increase flap survival compared with the control group (P\xa0<\xa00.001). Subeffective dose of baclofen (0.1\xa0mg/kg) had synergistic effect with the subeffective dose of IVM (0.01\xa0mg/kg) (P\xa0<\xa00.001), whereas bicuculline 1\xa0mg/kg reversed the effect of IVM (0.05\xa0mg/kg) (P\xa0<\xa00.001). IVM 0.05\xa0mg/kg could also decrease the IL-1β and TNFα levels and increase the expression of GABA<sub>A</sub> α1 subunit and GABA<sub>B</sub> R1 receptors in the flap tissue compared with the control group.', attributes={'Label': 'RESULTS'}), StringElement('IVM could improve skin flap survival, probably mediated by the GABAergic pathway. Both GABA<sub>A</sub> and GABA<sub>B</sub> receptors are involved in this process. This finding may repurpose the use of old drug, ""Ivermectin.""', attributes={'Label': 'CONCLUSIONS'})]",0.7816806722689076,"[Considering the presence of GABA receptor in the skin tissue and its role in ischemia-reperfusion I/R injury, we aimed to evaluate the effect of IVM through GABA receptors on random-pattern skin flap survival.', attributes={'Label': 'BACKGROUND'}), StringElement('Sixty Wistar male rats were used., Considering the presence of GABA receptor in the skin tissue and its role in ischemia-reperfusion I/R injury, we aimed to evaluate the effect of IVM through GABA receptors on random-pattern skin flap survival.', attributes={'Label': 'BACKGROUND'}), StringElement('Sixty Wistar male rats were used., Baclofen (selective GABA<sub>B</sub> agonist) and bicuculline (selective GABA<sub>A</sub> antagonist) were administered in combination with IVM to assess the role of the GABAergic system., Baclofen (selective GABA<sub>B</sub> agonist) and bicuculline (selective GABA<sub>A</sub> antagonist) were administered in combination with IVM to assess the role of the GABAergic system., IVM 0.05\xa0mg/kg could also decrease the IL-1β and TNFα levels and increase the expression of GABA<sub>A</sub> α1 subunit and GABA<sub>B</sub> R1 receptors in the flap tissue compared with the control group.', attributes={'Label': 'RESULTS'}), StringElement('IVM could improve skin flap survival, probably mediated by the GABAergic pathway.]"
8,7957605,Effect of ivermectin on gamma-aminobutyric acid-induced chloride currents in mouse hippocampal embryonic neurones.,"['The effect of ivermectin on gamma-aminobutyric acid (GABA)-induced Cl- currents was studied in embryonicse hippocampal cells in culture. When 0.1 microM ivermectin was applied to the perfusion medium, the responses to 2 microM GABA were enhanced to 273% within 60 s, and the GABA EC50 was reduced from 8.2 to 3.2 microM. Half-maximal potentiation of GABA responses was found with 17.8 nM ivermectin. The potentiating effect of ivermectin diminished to 146% within 10 min but the GABA EC50 did not change any further. At the same time, the maximal GABA-induced Cl- current decreased to 64%. Both the fast and slow desensitization time constants of GABA-activated membrane currents were shortened after ivermectin application. The final effect of ivermectin was irreversible. Modulation of the GABA responses by ivermectin did not interfere with the potentiation induced by diazepam and pentobarbital or with the sensitivity to blockade by bicuculline, picrotoxin and Zn2+. These results support the view that ivermectin binds to a novel site on the GABAA receptor and allosterically enhances the affinity of the GABA binding site. The more slowly occurring conformational changes in the ivermectin-GABAA receptor complex apparently accelerate the desensitization of the GABAA receptor, reducing the amplitude of maximal GABA-induced currents.']",0.7770145489185736,"[When 0.1 microM ivermectin was applied to the perfusion medium, the responses to 2 microM GABA were enhanced to 273% within 60 s, and the GABA EC50 was reduced from 8.2 to 3.2 microM. Half-maximal potentiation of GABA responses was found with 17.8 nM ivermectin., When 0.1 microM ivermectin was applied to the perfusion medium, the responses to 2 microM GABA were enhanced to 273% within 60 s, and the GABA EC50 was reduced from 8.2 to 3.2 microM. Half-maximal potentiation of GABA responses was found with 17.8 nM ivermectin., The potentiating effect of ivermectin diminished to 146% within 10 min but the GABA EC50 did not change any further., Both the fast and slow desensitization time constants of GABA-activated membrane currents were shortened after ivermectin application., Modulation of the GABA responses by ivermectin did not interfere with the potentiation induced by diazepam and pentobarbital or with the sensitivity to blockade by bicuculline, picrotoxin and Zn2+., These results support the view that ivermectin binds to a novel site on the GABAA receptor and allosterically enhances the affinity of the GABA binding site., The more slowly occurring conformational changes in the ivermectin-GABAA receptor complex apparently accelerate the desensitization of the GABAA receptor, reducing the amplitude of maximal GABA-induced currents.']]"
9,2447480,Effect of avermectin B1a on chick neuronal gamma-aminobutyrate receptor channels expressed in Xenopus oocytes.,"['Chick brain mRNA was isolated and injected into Xenopus oocytes. This led to the expression of gamma-aminobutyrate (GABA) channels easily accessible for current measurements using the voltage clamp technique. The effect of the anthelmintic natural product avermectin B1a on the GABA current was studied quantitatively. In the presence of the drug, GABA-induced chloride currents were strongly enhanced in a dose-dependent manner. Half-maximal stimulation of the current evoked by 5 microM GABA was found with about 0.1 microM avermectin B1a. Avermectin B1a did not affect the reversal potential of the current or the maximal response elicited by GABA, and did not alter the membrane permeability in the absence of GABA. The major effects of avermectin B1a were a shift of the Ka for GABA from 21 microM to 2 microM, and a decrease of the apparent Hill coefficient for GABA from 1.7 to 1.1. Furthermore, in the presence of avermectin B1a, desensitization of the GABA current was strongly inhibited. The benzodiazepine-binding site ligand Ro 15-1788 did not affect the action of avermectin B1a if present at concentrations up to 1 microM. The stimulatory effects of the drug were additive to the ones by the barbiturate pentobarbital, if both agents were added at low concentrations. At higher concentrations each of these agents inhibited the stimulatory effects of the other.']",0.7294584500466853,"[The effect of the anthelmintic natural product avermectin B1a on the GABA current was studied quantitatively., Half-maximal stimulation of the current evoked by 5 microM GABA was found with about 0.1 microM avermectin B1a., Avermectin B1a did not affect the reversal potential of the current or the maximal response elicited by GABA, and did not alter the membrane permeability in the absence of GABA., The major effects of avermectin B1a were a shift of the Ka for GABA from 21 microM to 2 microM, and a decrease of the apparent Hill coefficient for GABA from 1.7 to 1.1., Furthermore, in the presence of avermectin B1a, desensitization of the GABA current was strongly inhibited.]"
